,Sector,University,Year,Completions,Geography
69,"Private not-for-profit, 4-year or above",Sierra Nevada College,2015,309,Nevada
70,"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2015,67,Nevada
71,"Private for-profit, 2-year",Casal Institute of Nevada,2015,108,Nevada
72,"Public, 4-year or above",Western Nevada College,2015,925,Nevada
73,"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2015,89,Nevada
74,"Public, 4-year or above",Nevada State College,2015,393,Nevada
75,"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2015,82,Nevada
76,"Private for-profit, 2-year",Carrington College-Reno,2015,205,Nevada
77,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2015,78,Nevada
78,"Public, 2-year",Truckee Meadows Community College,2015,2355,Nevada
79,"Private not-for-profit, 4-year or above",Touro University Nevada,2015,402,Nevada
80,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2015,162,Nevada
81,"Private for-profit, less-than 2-year",Institute of Professional Careers,2015,25,Nevada
82,"Private for-profit, 2-year",Nevada Career Institute,2015,169,Nevada
83,"Private not-for-profit, 2-year",Everest College-Henderson,2015,357,Nevada
84,"Private for-profit, 2-year",Carrington College-Las Vegas,2015,203,Nevada
85,"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2015,316,Nevada
86,"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2015,68,Nevada
87,"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2014,418,Nevada
88,"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2014,75,Nevada
89,"Public, 4-year or above",College of Southern Nevada,2014,4608,Nevada
90,"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2014,8,Nevada
91,"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2014,224,Nevada
92,"Private for-profit, 2-year",Nevada Career Institute,2014,130,Nevada
93,"Private not-for-profit, 2-year",Everest College-Henderson,2014,374,Nevada
94,"Public, 4-year or above",Western Nevada College,2014,842,Nevada
95,"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2014,290,Nevada
96,"Public, 4-year or above",Great Basin College,2014,704,Nevada
97,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2014,82,Nevada
98,"Private for-profit, less-than 2-year",Advanced Training Institute,2014,147,Nevada
99,"Public, 2-year",Truckee Meadows Community College,2014,2286,Nevada
